lun oct  8 12:52:00 -05 2018
Filesystem                   Size  Used Avail Use% Mounted on
udev                         1,5T     0  1,5T   0% /dev
tmpfs                        303G  212M  303G   1% /run
/dev/sda3                    265G  120G  132G  48% /
tmpfs                        1,5T   51M  1,5T   1% /dev/shm
tmpfs                        5,0M     0  5,0M   0% /run/lock
tmpfs                        1,5T     0  1,5T   0% /sys/fs/cgroup
/dev/mapper/biodisk11-vol11  493G   70M  467G   1% /biotemp3
/dev/mapper/biodisk4-vol4   1008G  5,0G  952G   1% /biosamba
/dev/mapper/biodisk8-vol8     10T  9,3T  132G  99% /biodatatmp3
/dev/mapper/biodisk2-vol2     10T  917G  8,6T  10% /biodatatmp
/dev/mapper/biodisk1-vol1     10T  8,9T  597G  94% /biodata2
/dev/mapper/biodisk6-vol6     10T  9,1T  411G  96% /biodata1
/dev/mapper/biodisk7-vol7     10T  916G  8,6T  10% /biodatatmp2
/dev/mapper/biodisk9-vol9     10T  8,7T  839G  92% /biodata4
/dev/mapper/biodisk10-vol10   10T  6,7T  2,8T  71% /bioinformatica6
tmpfs                        303G  140K  303G   1% /run/user/1003
tmpfs                        303G   68K  303G   1% /run/user/1006
tmpfs                        303G     0  303G   0% /run/user/1000
lun oct 15 08:15:01 -05 2018
Filesystem                   Size  Used Avail Use% Mounted on
udev                         1,5T     0  1,5T   0% /dev
tmpfs                        303G  229M  303G   1% /run
/dev/sda3                    265G  123G  129G  49% /
tmpfs                        1,5T   54M  1,5T   1% /dev/shm
tmpfs                        5,0M     0  5,0M   0% /run/lock
tmpfs                        1,5T     0  1,5T   0% /sys/fs/cgroup
/dev/mapper/biodisk11-vol11  493G   70M  467G   1% /biotemp3
/dev/mapper/biodisk4-vol4   1008G  5,4G  952G   1% /biosamba
/dev/mapper/biodisk8-vol8     10T  9,3T  132G  99% /biodatatmp3
/dev/mapper/biodisk2-vol2     10T  917G  8,6T  10% /biodatatmp
/dev/mapper/biodisk1-vol1     10T  8,9T  597G  94% /biodata2
/dev/mapper/biodisk6-vol6     10T  9,1T  411G  96% /biodata1
/dev/mapper/biodisk7-vol7     10T  2,9T  6,6T  31% /biodatatmp2
/dev/mapper/biodisk9-vol9     10T  7,8T  1,8T  82% /biodata4
/dev/mapper/biodisk10-vol10   10T  6,7T  2,8T  71% /bioinformatica6
tmpfs                        303G  136K  303G   1% /run/user/1003
tmpfs                        303G   56K  303G   1% /run/user/1006
tmpfs                        303G     0  303G   0% /run/user/1000
lun oct 22 08:15:01 -05 2018
Filesystem                   Size  Used Avail Use% Mounted on
udev                         1,5T     0  1,5T   0% /dev
tmpfs                        303G  259M  303G   1% /run
/dev/sda3                    265G  120G  132G  48% /
tmpfs                        1,5T   28M  1,5T   1% /dev/shm
tmpfs                        5,0M     0  5,0M   0% /run/lock
tmpfs                        1,5T     0  1,5T   0% /sys/fs/cgroup
/dev/mapper/biodisk11-vol11  493G   70M  467G   1% /biotemp3
/dev/mapper/biodisk4-vol4   1008G   69G  888G   8% /biosamba
/dev/mapper/biodisk8-vol8     10T  7,8T  1,7T  83% /biodatatmp3
/dev/mapper/biodisk2-vol2     10T  2,4T  7,1T  26% /biodatatmp
/dev/mapper/biodisk1-vol1     10T  8,9T  597G  94% /biodata2
/dev/mapper/biodisk6-vol6     10T  9,1T  411G  96% /biodata1
/dev/mapper/biodisk7-vol7     10T  3,2T  6,3T  34% /biodatatmp2
/dev/mapper/biodisk9-vol9     10T  7,8T  1,8T  82% /biodata4
/dev/mapper/biodisk10-vol10   10T  6,7T  2,8T  71% /bioinformatica6
tmpfs                        303G  144K  303G   1% /run/user/1003
tmpfs                        303G   72K  303G   1% /run/user/1006
tmpfs                        303G     0  303G   0% /run/user/1000
lun oct 29 08:15:01 -05 2018
Filesystem                   Size  Used Avail Use% Mounted on
udev                         1,5T     0  1,5T   0% /dev
tmpfs                        303G  283M  303G   1% /run
/dev/sda3                    265G  120G  132G  48% /
tmpfs                        1,5T   28M  1,5T   1% /dev/shm
tmpfs                        5,0M     0  5,0M   0% /run/lock
tmpfs                        1,5T     0  1,5T   0% /sys/fs/cgroup
/dev/mapper/biodisk11-vol11  493G   70M  467G   1% /biotemp3
/dev/mapper/biodisk4-vol4   1008G   70G  888G   8% /biosamba
/dev/mapper/biodisk8-vol8     10T  7,8T  1,7T  83% /biodatatmp3
/dev/mapper/biodisk2-vol2     10T  2,4T  7,1T  26% /biodatatmp
/dev/mapper/biodisk1-vol1     10T  8,9T  597G  94% /biodata2
/dev/mapper/biodisk6-vol6     10T  9,1T  411G  96% /biodata1
/dev/mapper/biodisk7-vol7     10T  5,0T  4,5T  53% /biodatatmp2
/dev/mapper/biodisk9-vol9     10T  7,8T  1,8T  82% /biodata4
/dev/mapper/biodisk10-vol10   10T  6,7T  2,8T  71% /bioinformatica6
tmpfs                        303G  152K  303G   1% /run/user/1003
tmpfs                        303G   76K  303G   1% /run/user/1006
tmpfs                        303G     0  303G   0% /run/user/1000
lun nov  5 08:15:01 -05 2018
Filesystem                   Size  Used Avail Use% Mounted on
udev                         1,5T     0  1,5T   0% /dev
tmpfs                        303G  320M  303G   1% /run
/dev/sda3                    265G   60G  192G  24% /
tmpfs                        1,5T   89M  1,5T   1% /dev/shm
tmpfs                        5,0M     0  5,0M   0% /run/lock
tmpfs                        1,5T     0  1,5T   0% /sys/fs/cgroup
/dev/mapper/biodisk11-vol11  493G   70M  467G   1% /biotemp3
/dev/mapper/biodisk4-vol4   1008G   70G  888G   8% /biosamba
/dev/mapper/biodisk8-vol8     10T  7,8T  1,7T  83% /biodatatmp3
/dev/mapper/biodisk2-vol2     10T  9,5T   27M 100% /biodatatmp
/dev/mapper/biodisk1-vol1     10T  8,9T  597G  94% /biodata2
/dev/mapper/biodisk6-vol6     10T  9,1T  411G  96% /biodata1
/dev/mapper/biodisk7-vol7     10T  8,2T  1,4T  87% /biodatatmp2
/dev/mapper/biodisk9-vol9     10T  7,8T  1,8T  82% /biodata4
/dev/mapper/biodisk10-vol10   10T  6,7T  2,8T  71% /bioinformatica6
tmpfs                        303G  148K  303G   1% /run/user/1003
tmpfs                        303G   68K  303G   1% /run/user/1006
tmpfs                        303G     0  303G   0% /run/user/1000
lun nov 12 08:15:01 -05 2018
Filesystem                   Size  Used Avail Use% Mounted on
udev                         1,5T     0  1,5T   0% /dev
tmpfs                        303G  344M  303G   1% /run
/dev/sda3                    265G   63G  189G  25% /
tmpfs                        1,5T  150M  1,5T   1% /dev/shm
tmpfs                        5,0M     0  5,0M   0% /run/lock
tmpfs                        1,5T     0  1,5T   0% /sys/fs/cgroup
/dev/mapper/biodisk11-vol11  493G   70M  467G   1% /biotemp3
/dev/mapper/biodisk4-vol4   1008G   70G  888G   8% /biosamba
/dev/mapper/biodisk8-vol8     10T  7,8T  1,7T  83% /biodatatmp3
/dev/mapper/biodisk2-vol2     10T  8,6T  922G  91% /biodatatmp
/dev/mapper/biodisk1-vol1     10T  8,9T  597G  94% /biodata2
/dev/mapper/biodisk6-vol6     10T  9,1T  411G  96% /biodata1
/dev/mapper/biodisk7-vol7     10T  8,6T  937G  91% /biodatatmp2
/dev/mapper/biodisk9-vol9     10T  8,6T  852G  92% /biodata4
/dev/mapper/biodisk10-vol10   10T  9,0T  486G  95% /bioinformatica6
tmpfs                        303G  156K  303G   1% /run/user/1003
tmpfs                        303G   68K  303G   1% /run/user/1006
tmpfs                        303G     0  303G   0% /run/user/1000
lun nov 19 08:15:01 -05 2018
Filesystem                   Size  Used Avail Use% Mounted on
udev                         1,5T     0  1,5T   0% /dev
tmpfs                        303G  360M  303G   1% /run
/dev/sda3                    265G   63G  190G  25% /
tmpfs                        1,5T   83M  1,5T   1% /dev/shm
tmpfs                        5,0M     0  5,0M   0% /run/lock
tmpfs                        1,5T     0  1,5T   0% /sys/fs/cgroup
